Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,
StarDust_Kat,@KittySaysWhat19,2024-05-12T08:58:12.000Z,False,We didn’t miss out on much then  He has a hair cut like Jimmy Savile.,0,0,0,275,[],[],['\\U0001f602'],https://pbs.twimg.com/profile_images/1740416207071686656/ytKOfyuF_normal.jpg,https://x.com/KittySaysWhat19/status/1789580826725757171,tweet_id:1789580826725757171,
prav,@pravin_ra,2024-05-12T18:35:14.000Z,True,"Islamic fanatic Imam threatens Europe and America: ""Islam will enter every home whether you want it or not. We have a plan!""",0,0,0,118,[],[],[],https://pbs.twimg.com/profile_images/1564258944365002753/37EhQEtD_normal.jpg,https://x.com/pravin_ra/status/1789726039767232979,tweet_id:1789726039767232979,
darren cave,@RealDarrenCave,2024-05-11T19:45:07.000Z,False, come on Israel  ,0,0,0,3.9K,[],[],"['\\U0001f602', '\\U0001f602', '\\U0001f602', '\\U0001f602', '\\U0001f602', '\\U0001f1ee\\U0001f1f1', '\\U0001f1ee\\U0001f1f1', '\\U0001f1ee\\U0001f1f1', '\\U0001f1ee\\U0001f1f1', '\\U0001f1ee\\U0001f1f1', '\\U0001f1ee\\U0001f1f1', '\\U0001f1ee\\U0001f1f1', '\\U0001f1ee\\U0001f1f1']",https://pbs.twimg.com/profile_images/1358918754709757956/bbzIvSgm_normal.jpg,https://x.com/RealDarrenCave/status/1789381242078527886,tweet_id:1789381242078527886,
Incarnatum,@GodxIncarnatum1,2024-05-11T19:49:59.000Z,False,cry harder,0,0,0,2.2K,[],[],[],https://pbs.twimg.com/profile_images/1567012054673891328/Hq17MF1g_normal.jpg,https://x.com/GodxIncarnatum1/status/1789382463770268106,tweet_id:1789382463770268106,
Roxy,@dieselmydog,2024-05-12T00:20:36.000Z,False,,0,0,0,610,[],[],[],https://pbs.twimg.com/profile_images/1706209670887849985/9olemkym_normal.jpg,https://x.com/dieselmydog/status/1789450568748188128,tweet_id:1789450568748188128,
Liam,@LiamCarter1991,2024-05-11T19:46:27.000Z,False,,0,0,0,1.1K,[],[],[],https://pbs.twimg.com/profile_images/1428033291240808457/nzaz-YJb_normal.jpg,https://x.com/LiamCarter1991/status/1789381575643173315,tweet_id:1789381575643173315,
Alapona,@BMLatif,2024-05-11T21:53:57.000Z,False,Israel is mightier than the world’s mightiest nation. EXAMPLE: American President  gifts another $26 billion of American taxpayers dollars in aid but still gets abused by Israel’s Jewish people,0,0,0,29,[],['@JoeBiden'],[],https://pbs.twimg.com/profile_images/668043833536602113/eP-0Dedg_normal.jpg,https://x.com/BMLatif/status/1789413663188627860,tweet_id:1789413663188627860,
DudemanTheDude,@TheFunniDudeman,2024-05-12T13:39:17.000Z,False,epic ahh song ,0,0,0,447,[],[],"['\\U0001f5e3\\ufe0f', '\\U0001f5e3\\ufe0f', '\\u203c\\ufe0f', '\\u203c\\ufe0f', '\\U0001f525', '\\U0001f525', '\\U0001f9be', '\\U0001f9be', '\\U0001f9be', '\\U0001f1f3\\U0001f1f1', '\\U0001f1f3\\U0001f1f1']",https://pbs.twimg.com/profile_images/1586897200323477505/WzXim19N_normal.jpg,https://x.com/TheFunniDudeman/status/1789651564149223468,tweet_id:1789651564149223468,
bennaj3,@bennaj21,2024-05-11T20:28:55.000Z,False,"They have been kind with the public not to have to bear this ""thing"" twice.",0,0,0,2K,[],[],[],https://pbs.twimg.com/profile_images/1623651411929059328/YrRSD1Py_normal.png,https://x.com/bennaj21/status/1789392261198877144,tweet_id:1789392261198877144,
Monkey D Luffy,@monkey9467,2024-05-12T13:10:39.000Z,False,He was disqualified for beating up a journalist.,0,0,0,43,[],[],[],https://pbs.twimg.com/profile_images/1770143553311719424/wseYO4y1_normal.png,https://x.com/monkey9467/status/1789644356317487401,tweet_id:1789644356317487401,
Nicholas M,@nicholasskm,2024-05-11T21:41:05.000Z,False,#JOOSTICE,0,0,0,2.7K,['#JOOSTICE'],[],[],https://pbs.twimg.com/profile_images/1227669586830598144/VBD08VtQ_normal.jpg,https://x.com/nicholasskm/status/1789410423936102646,tweet_id:1789410423936102646,
Vagabundus,@1vitototh,2024-05-12T13:33:33.000Z,False,Schwach-00 Points,0,0,0,357,[],[],[],https://pbs.twimg.com/profile_images/1707150790144499713/dnbsHrF__normal.png,https://x.com/1vitototh/status/1789650120490811532,tweet_id:1789650120490811532,
David Cohen,@dcpersonal01,2024-05-12T18:03:39.000Z,False,Gross,0,0,0,57,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/dcpersonal01/status/1789718094614573258,tweet_id:1789718094614573258,
w a n n e s {Oneness} C,@VtWannes,2024-05-13T00:06:41.000Z,False,,0,0,0,17,[],[],[],https://pbs.twimg.com/profile_images/1789167902597267456/lQYmyQPB_normal.jpg,https://x.com/VtWannes/status/1789809455275675811,tweet_id:1789809455275675811,
w a n n e s {Oneness} C,@VtWannes,2024-05-13T00:07:06.000Z,False,,0,0,0,19,[],[],[],https://pbs.twimg.com/profile_images/1789167902597267456/lQYmyQPB_normal.jpg,https://x.com/VtWannes/status/1789809560514875589,tweet_id:1789809560514875589,
Gaby Pell,@pell_gaby,2024-05-12T21:40:07.000Z,False,When you stubbed your toe in the bathrrom this morning - it's Israel. When your take-away arrived without the chips order - it's Israel.,0,0,0,17,[],[],[],https://pbs.twimg.com/profile_images/991182763075260417/hGrZHa0f_normal.jpg,https://x.com/pell_gaby/status/1789772570935308556,tweet_id:1789772570935308556,
Alex Leiva アレックス,@ALEX_BBJBJ,2024-05-12T16:09:58.000Z,False,Did they delete his live video from the youtube?,0,0,0,168,[],[],[],https://pbs.twimg.com/profile_images/1052621533091311616/XySpTMBX_normal.jpg,https://x.com/ALEX_BBJBJ/status/1789689485938315707,tweet_id:1789689485938315707,
Me,@soisraeli,2024-05-11T21:06:57.000Z,False,Who?,0,0,0,998,[],[],[],https://pbs.twimg.com/profile_images/1771572036327948289/Onr0t9pw_normal.jpg,https://x.com/soisraeli/status/1789401834076897382,tweet_id:1789401834076897382,
ukpp2_without explanation,@UKPP2_,2024-05-11T20:32:26.000Z,False,It's no big loss sound sshit anyway lol wouldn't have won.,0,0,0,563,[],[],[],https://pbs.twimg.com/profile_images/1731923855160086528/8RI2CTbJ_normal.jpg,https://x.com/UKPP2_/status/1789393150236041547,tweet_id:1789393150236041547,
Borederforce,@Borederforce,2024-05-11T19:50:53.000Z,False,Maybe he should stop assaulting women? Just a suggestion.,0,0,0,10K,[],[],[],https://pbs.twimg.com/profile_images/1602057523045011458/Hs4yxJNi_normal.jpg,https://x.com/Borederforce/status/1789382690648531397,tweet_id:1789382690648531397,
Kerem,@Krm_H67,2024-05-11T19:35:03.000Z,False,Never forget which song would have been next to perform  JOOST KLEIN IS THE REAL WINNER OF EUROVISION TONIGHT!!#JusticeforJoostKlein#Eurovision2024 #ESC2024,0,0,0,0,"['#JusticeforJoostKlein', '#Eurovision2024', '#ESC2024']",[],"['\\U0001f1f3\\U0001f1f1', '\\U0001f1f3\\U0001f1f1', '\\U0001f1f3\\U0001f1f1', '\\U0001f1f3\\U0001f1f1', '\\U0001f1f3\\U0001f1f1']",https://pbs.twimg.com/profile_images/1786303235680043008/Z6xRmSWq_normal.jpg,https://x.com/Krm_H67/status/1789378708588908818,tweet_id:1789378708588908818,
Pieter,@pieter_des,2024-05-11T19:47:04.000Z,False,Let's make #Europapa trending!,0,0,0,844,['#Europapa'],[],[],https://pbs.twimg.com/profile_images/561132802431672321/wj50-GUD_normal.jpeg,https://x.com/pieter_des/status/1789381729825837163,tweet_id:1789381729825837163,
Pieter,@pieter_des,2024-05-11T19:55:57.000Z,False,Let's make #Europapa trending!,0,0,0,877,['#Europapa'],[],[],https://pbs.twimg.com/profile_images/561132802431672321/wj50-GUD_normal.jpeg,https://x.com/pieter_des/status/1789383965796602029,tweet_id:1789383965796602029,
Pontus,@pontuskarlssonz,2024-05-11T19:40:49.000Z,False,Not a good song,0,0,0,520,[],[],[],https://pbs.twimg.com/profile_images/1344007994393165824/g24ic4ch_normal.jpg,https://x.com/pontuskarlssonz/status/1789380156571656664,tweet_id:1789380156571656664,
chrisi,@djchrisi,2024-05-11T19:44:44.000Z,False,It's already forgotten.,0,0,0,609,[],[],[],https://pbs.twimg.com/profile_images/1150958640/tux_normal.png,https://x.com/djchrisi/status/1789381144237990348,tweet_id:1789381144237990348,
Lars19,@Lars19151,2024-05-15T10:49:21.000Z,False,,0,0,0,7,[],[],[],https://pbs.twimg.com/profile_images/1614465342666932225/e8SP4s1p_normal.jpg,https://x.com/Lars19151/status/1790695962899251698,tweet_id:1790695962899251698,
H3ttt,@radialhead3d,2024-05-11T23:07:29.000Z,False,Top 3 if not the winner! Agree!,0,0,0,140,[],[],[],https://pbs.twimg.com/profile_images/1618025250775773186/3iBdBgTK_normal.jpg,https://x.com/radialhead3d/status/1789432167082201414,tweet_id:1789432167082201414,
Stefan Costabel,@RA_Costabel,2024-05-11T19:36:13.000Z,False,,0,0,0,778,[],[],"['\\U0001f92e', '\\U0001f92e', '\\U0001f92e', '\\U0001f92e']",https://pbs.twimg.com/profile_images/378800000439936703/9664bc4951089e2a54f2eb86c347621a_normal.jpeg,https://x.com/RA_Costabel/status/1789378998885142680,tweet_id:1789378998885142680,
Sarah-supports Police and the morally righteous.,@Sarah28998,2024-05-11T20:55:23.000Z,False,"Winner-i think you MEAN LOSER-and we all forgot his name already=his ugly mug will haunt me but his name, buh bye big L.",0,0,0,94,[],[],[],https://pbs.twimg.com/profile_images/1753780429843472384/iHZd3W-__normal.jpg,https://x.com/Sarah28998/status/1789398924878336103,tweet_id:1789398924878336103,
Caroline van der Plas,@lientje1967,2024-05-11T19:33:23.000Z,False,IJsselmeer en Markermeer zijn door #EBU ingepolderd. #Eurovision2024,0,0,0,0,"['#EBU', '#Eurovision2024']",[],[],https://pbs.twimg.com/profile_images/1768768680702173184/FpfHCe6U_normal.jpg,https://x.com/lientje1967/status/1789378286683893949/photo/1,tweet_id:1,
Rick Mmmona wordt het !!,@lange_enschede,2024-05-11T19:44:13.000Z,False,Maar dat een natie meedoet die openlijk een genocide pleegt valt je niet op?,0,0,0,41,[],[],[],https://pbs.twimg.com/profile_images/1794114097363001345/eSt1z-1J_normal.jpg,https://x.com/lange_enschede/status/1789381014256529879,tweet_id:1789381014256529879,
Zerophreak,@RaymonRutten,2024-05-13T12:54:18.000Z,False,Leven in een fantasie wereld dat was duidelijk Nederland want nederlands grondgebied.,0,0,0,22,[],[],[],https://pbs.twimg.com/profile_images/1469282417978531842/zZocJqPF_normal.jpg,https://x.com/RaymonRutten/status/1790002628887195723,tweet_id:1790002628887195723,
 Dennis Gerritsen 𝕏,@dennboss,2024-05-11T20:20:43.000Z,False,Meer ruimte voor je koeien,0,0,0,926,[],[],[],https://pbs.twimg.com/profile_images/1547635629046935554/J8Z2A1gF_normal.jpg,https://x.com/dennboss/status/1789390199924932733,tweet_id:1789390199924932733,
Tingieter,@Tingieter12,2024-05-12T10:54:13.000Z,False,"Wie zit er eigenlijk in de vakjury in nederland. De nederlandse bevolking geeft 12 punten, vakjury 0 punten. Welke pdrsonen zitten hier in.",0,0,0,210,[],[],[],https://pbs.twimg.com/profile_images/1706742513564839936/-znhtM2R_normal.jpg,https://x.com/Tingieter12/status/1789610022831374410,tweet_id:1789610022831374410,
patty,@LieropPf,2024-05-11T20:34:55.000Z,False,"Lijkt me top plan! Inpolderen en ervan een groot natuurgebied maken waar de ecologen volledig los kunnen. In ruil daarvoor de rest van Nederland van het slot op gebied van stikstof, co2, vogel habitat regels",0,0,0,165,[],[],[],https://pbs.twimg.com/profile_images/1619755065471897601/IhhOGKW2_normal.jpg,https://x.com/LieropPf/status/1789393774096826690,tweet_id:1789393774096826690,
Henk Eleveld,@heleveld,2024-05-11T19:43:47.000Z,False,"Eindelijk plaats voor asielzoekers arbeidsmigranten, boeren en woningzoekende burgers?",0,0,0,1K,[],[],[],https://pbs.twimg.com/profile_images/1280947299657699328/X8oRD3hq_normal.jpg,https://x.com/heleveld/status/1789380906710360188,tweet_id:1789380906710360188,
Jan van Arendonk,@JanvanArendonk,2024-05-11T20:37:33.000Z,False,"Nederland dreigt ten onder te gaan!
schiet verdomme op met de formatie!",0,0,0,139,[],[],[],https://pbs.twimg.com/profile_images/1541826935491362817/KPUihe7C_normal.jpg,https://x.com/JanvanArendonk/status/1789394434049638400,tweet_id:1789394434049638400,
Wilco,@wilcomulder1,2024-05-11T23:59:50.000Z,False,"De Zeeuwse eilanden ook. 
Handig ",0,0,0,346,[],[],['\\U0001f609'],https://pbs.twimg.com/profile_images/1784357615041990656/33kmv2rN_normal.jpg,https://x.com/wilcomulder1/status/1789445342196371499,tweet_id:1789445342196371499,
Jordy Dekker,@JordyDekker,2024-05-11T19:41:57.000Z,False,"Zoals Cornald Maas al zei, fuck de EBU.",0,0,0,1.7K,[],[],[],https://pbs.twimg.com/profile_images/1604572995292372997/ScQ-AyzE_normal.jpg,https://x.com/JordyDekker/status/1789380444007399441,tweet_id:1789380444007399441,
R.L.Meeuwis,@RonaldMeeuwis,2024-05-11T19:35:05.000Z,False,Oohh. ?..,0,0,0,532,[],[],[],https://pbs.twimg.com/profile_images/785535128118431744/Df8PHmqq_normal.jpg,https://x.com/RonaldMeeuwis/status/1789378716583235701,tweet_id:1789378716583235701,
